gamma,n_neurons,mean_quad_perturbation_approximation_error,perturbation_approximation_std_deviation,perturbation_approximation_correlation_coefficient
0.8250000000000001,10,0.22364274900900327,0.3217295997112939,0.9953952870067866
0.8500000000000001,10,0.3236717801022623,0.3371163618187755,0.9951375837574226
0.8750000000000001,10,0.1764216117864661,0.32358613559198074,0.9956269062342626
0.9,10,0.33165643126909705,0.32850108015203927,0.9951248610493844
0.925,10,0.407403430421969,0.2545459678458766,0.9974253071899041
0.9500000000000001,10,0.15699079377518124,0.376079310984353,0.9946906323688454
0.9750000000000001,10,0.15021496379546756,0.3464224484427844,0.994943676027905
0.025,20,0.9797848781164213,0.41034653557358786,0.9925435168692655
0.05,20,11.662745647116818,0.33688094269276025,0.9948760131653659
0.07500000000000001,20,0.08281260783824933,0.24245438274332215,0.9973451943316398
0.1,20,0.24501072329711443,0.2188659066950511,0.9978509021323082
0.125,20,0.3729467828187647,0.2575192487640403,0.9970095918935071
0.15,20,0.10508391451955183,0.21213088608762026,0.9981898751798025
0.17500000000000002,20,0.1255780228366324,0.255860153202156,0.9970764157329564
0.2,20,0.6910024050006425,0.2953003611671966,0.9961600166716692
0.225,20,2.120011378106533,0.2359611792520005,0.9976571640874404
0.25,20,0.39128808370724855,0.20979199338763901,0.998336729522077
0.275,20,0.2884592219358161,0.2443695548326902,0.9973382127869764
0.30000000000000004,20,0.08319770745037233,0.26017546976314515,0.9972851986143351
0.32500000000000007,20,0.45081478132042013,0.22038721660761276,0.9978979472199615
0.35000000000000003,20,0.9877728203389498,0.312252666983137,0.9957791138507205
0.37500000000000006,20,0.32493422236094277,0.300686213755493,0.9959655888841665
0.4,20,0.35803107928082867,0.28885297793413106,0.9962324031077988
0.42500000000000004,20,0.34583008665661324,0.27844089177165027,0.9972724363689573
0.45000000000000007,20,0.22958412184028038,0.36154786203460565,0.9941943779443709
0.47500000000000003,20,0.9690193794887113,0.4732712939724952,0.9898480732759545
0.5,20,0.14838171818086016,0.3065957026907716,0.9957565769592256
0.525,20,0.4189891020105788,0.36902928198386614,0.9945558543408489
0.55,20,0.170303289046194,0.4032818790797446,0.9926435541635316
